,property type,society,sector,price,price_per_sq_ft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxary_score,area_bedroom_ratio
158,house,housing board colony,sector 10,3.5,25926.0,1350.0,Plot area 150(125.42 sq.m.),6,6,3,3.0,,Relatively New,,1350.0,,0,0,0,0,0,0,0,225.0
2115,house,independent,sector 10,0.95,21111.0,450.0,Plot area 450(41.81 sq.m.),2,1,1,3.0,,New Property,,450.0,,0,0,0,0,0,0,15,225.0
3849,house,independent,sector 105,0.38,8444.0,450.0,Plot area 450(41.81 sq.m.),2,2,1,1.0,,Moderately Old,,450.0,,0,0,0,0,0,0,0,225.0
3782,house,independent,sector 7,0.35,7778.0,450.0,Carpet area: 500 (46.45 sq.m.),2,2,1,2.0,East,undefined,,,500.0,0,0,0,0,0,0,0,225.0
2435,house,independent,sector 8,0.32,7111.0,450.0,Built Up area: 450 (41.81 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2,3,1,1.0,North-East,Relatively New,,450.0,300.0,0,0,0,0,0,0,0,225.0
2804,house,naman residency,sector 3,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),2,2,2,2.0,West,New Property,,450.0,,1,1,0,1,1,0,14,225.0
2800,house,independent,sector 105,0.38,8444.0,450.0,Carpet area: 50 (4.65 sq.m.),2,2,2,1.0,,undefined,,,50.0,0,0,0,0,0,0,0,225.0
1475,flat,laxmi pareena,sector 99,0.3,6667.0,450.0,Carpet area: 450 (41.81 sq.m.),2,1,No,12.0,north,undefined,,,450.0,0,0,0,0,0,0,0,225.0
3790,house,shivpuri,sector 5,2.8,12444.0,2250.0,Plot area 2250(209.03 sq.m.),10,7,3,1.0,,Old Property,,2250.0,,1,1,0,1,1,2,0,225.0
806,house,independent,sector 9,0.9,10000.0,900.0,Plot area 100(83.61 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 170 sq.yards (142.14 sq.m.),4,5,3,3.0,West,New Property,,250.0,170.0,0,0,0,0,1,0,14,225.0
3603,house,independent,sector 8,0.82,9111.0,900.0,Plot area 100(83.61 sq.m.),4,3,3,2.0,North,Moderately Old,,900.0,,0,0,0,0,0,0,12,225.0
551,house,"nirmal enclave, maruti kunj road",sector 68,0.24,5333.0,450.0,Plot area 450(41.81 sq.m.),2,2,No,2.0,North,Relatively New,,450.0,,0,0,0,0,0,0,0,225.0
769,house,independent,sector 8,1.0,11111.0,900.0,Plot area 100(83.61 sq.m.),4,3,3+,4.0,North-East,Relatively New,,900.0,,0,0,0,0,1,0,0,225.0
2558,house,independent,sector 9,0.8,8889.0,900.0,Plot area 100(83.61 sq.m.),4,4,No,2.0,,Old Property,,900.0,,0,0,0,0,0,0,0,225.0
1598,house,independent,sector 11,3.5,15556.0,2250.0,Built Up area: 2250 (209.03 sq.m.),10,1,No,1.0,,New Property,,2250.0,,0,0,0,0,0,0,0,225.0
3025,house,independent,sector 26,6.0,33333.0,1800.0,Plot area 200(167.23 sq.m.),8,5,3+,3.0,,Old Property,,1800.0,,0,0,0,0,0,2,9,225.0
1558,house,independent,sector 3,1.1,6111.0,1800.0,Plot area 200(167.23 sq.m.),8,4,3+,2.0,West,Old Property,,1800.0,,0,0,0,0,0,0,7,225.0
3529,house,independent,sector 7,0.37,8222.0,450.0,Plot area 450(41.81 sq.m.),2,2,1,1.0,,Moderately Old,,450.0,,0,0,0,0,1,0,0,225.0
2592,house,independent,sector 4,0.67,9795.0,684.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively New,,76.0,,0,0,0,0,1,0,7,228.0
